title,price,ratings,stars,shipping+tax,brand,series,screenSize,color,hard_disk_size,cpu_model,ram,OS,card_description,graphics_coprocessor
"Acer Aspire 5 A515-56-32DK Slim Laptop - 15.6"" Full HD IPS Display - 11th Gen Intel i3-1115G4 Dual Core Processor - 4GB DDR4 - 128GB NVMe SSD - WiFi 6 - Amazon Alexa - Windows 11 Home in S mode.",$269.99,"1,345 ratings",4.3 out of 5 stars, $451.85 Shipping & Import Fees Deposit to Bangladesh ,Acer,A515-56-32DK,15.6 Inches,Silver,128 GB,Core i3,4 GB,Windows 11 Home,Integrated,Intel UHD Graphics
"MSI Pulse GL66 Gaming Laptop: 15.6"" 144Hz FHD 1080p Display, Intel Core i7-11800H, NVIDIA GeForce RTX 3070, 16GB, 512GB SSD, Win10, Black (11UGK-001)","$1,389.01","3,324 ratings",4.6 out of 5 stars," $1,907.85 Shipping & Import Fees Deposit to Bangladesh ",MSI,Pulse GL66 11UGK-001,15.6 Inches,Black,512 GB,Core i7,16 GB,Windows 10 Home,RTX 3070,NVIDIA GeForce RTX 3070
"Acer Nitro 5 AN517-41-R0RZ Gaming Laptop, AMD Ryzen 7 5800H (8-Core) | NVIDIA GeForce RTX 3060 Laptop GPU | 17.3"" FHD 144Hz IPS Display | 16GB DDR4 | 1TB NVMe SSD | WiFi 6 | RGB Backlit Keyboard","$1,227.98",94 ratings,4.4 out of 5 stars," $1,706.68 Shipping & Import Fees Deposit to Bangladesh ",Acer,AN517-41-R0RZ,17.3 Inches,Black,1 TB,Ryzen 7,16 GB,Windows 10 Home,Dedicated,NVIDIA GeForce RTX 3060
"Alienware M15 R6 Gaming Laptop - 15.6-inch FHD (1920 x 1080) 1ms 360Hz Display, Intel Core i7-11800H, 32GB DDR4 RAM, 1TB SSD, NVIDIA RTX 3070 8GB Graphics, Windows 11 Home - Black",,141 ratings,4.5 out of 5 stars,,Alienware,Alienware M15 R6,15.6 Inches,Black,1 TB,Core I7 11800H,32 GB,Windows 11 Home,NVIDIA GeForce RTX 3070,NVIDIA GeForce RTX 3070
"Lenovo - 2022 - IdeaPad 3 - Travel Laptop Computer - AMD Ryzen 5 - 17.3"" FHD Display - 8GB Memory - 512GB Storage - Windows 11 Home",$479.99,385 ratings,4.4 out of 5 stars, $730.68 Shipping & Import Fees Deposit to Bangladesh ,Lenovo,2022,17.3,Arctic Grey,512 GB,Ryzen 5,8 GB,Windows 11,Integrated,AMD Radeon Vega 7
"HP Victus 15.6"" Gaming Laptop PC, NVIDIA GeForce RTX 3050 Ti, AMD Ryzen 7 5800H, Refined 1080p IPS Display, Compact Design, All-in-One Keyboard with Enlarged Touchpad, HD Webcam (15-fb0028nr, 2022)",,274 ratings,4.5 out of 5 stars,,HP,Victus,15.6 Inches,Silver,,AMD Ryzen 7 5800H,16 GB,Windows 11 Home,Dedicated,NVIDIA GeForce RTX 3050
"Acer Aspire 5 A515-45-R74Z Slim Laptop | 15.6"" Full HD IPS | AMD Ryzen 5 5500U Hexa-Core Mobile Processor | AMD Radeon Graphics | 8GB DDR4 | 256GB NVMe SSD | WiFi 6 | Backlit KB | Windows 11 Home",$389.99,"39,521 ratings",4.5 out of 5 stars, $607.80 Shipping & Import Fees Deposit to Bangladesh ,Acer,Aspire 5,15.6 Inches,Silver,256 GB,AMD Ryzen 5 5500U,8 GB,Windows 11,Integrated,
"Acer Nitro 5 AN515-58-725A Gaming Laptop | Intel Core i7-12700H | NVIDIA GeForce RTX 3060 GPU | 15.6"" FHD 144Hz 3ms IPS Display | 16GB DDR4 | 512GB Gen 4 SSD | Killer Wi-Fi 6 | RGB Keyboard","$1,399.99","1,638 ratings",4.4 out of 5 stars," $1,923.22 Shipping & Import Fees Deposit to Bangladesh ",Acer,AN515-58-725A,15.6 Inches,Black,,Core i7,16 GB,Windows 11 Home,Dedicated,NVIDIA GeForce RTX 3060
"Acer CB315-3H-C5JS 15.6"" Intel Celeron N4020 4GB LPDDR4 32GB eMMC Chrome OS Chromebook",$356.75,7 ratings,3.4 out of 5 stars, $564.60 Shipping & Import Fees Deposit to Bangladesh ,Acer,NX.HKBAA.004,15.6 Inches,Silver,32 GB,Celeron,4 GB,Chrome OS,Integrated,Intel UHD Graphics 600
"Razer Blade 16 Gaming -Laptop: NVIDIA GeForce RTX 4060 13th Gen Intel 24-Core i9 HX CPU 16"" QHD+ 240Hz - 16GB -RAM - 1TB SSD CNC Aluminum Compact GaN -Charger - Windows 11 Chroma RGB","$2,699.99",3 ratings,3.3 out of 5 stars," $3,592.05 Shipping & Import Fees Deposit to Bangladesh ",Razer,Blade,16 Inches,Black,1 TB,Intel Core i9,16 GB,Windows 11,RTX 4060,
